iter	Passed	Remaining
0	109	109749
1	117	58414
2	124	41427
3	132	32929
4	138	27620
5	145	24120
6	152	21600
7	158	19598
8	165	18236
9	172	17036
10	178	16079
11	185	15301
12	192	14591
13	199	14057
14	206	13551
15	212	13073
16	219	12675
17	226	12348
18	232	12017
19	239	11724
20	246	11501
21	253	11274
22	259	11034
23	266	10820
24	272	10620
25	279	10473
26	286	10315
27	292	10163
28	300	10046
29	306	9908
30	313	9805
31	320	9693
32	327	9610
33	335	9517
34	342	9454
35	350	9385
36	357	9300
37	365	9245
38	372	9170
39	379	9112
40	387	9059
41	395	9014
42	402	8954
43	409	8906
44	417	8853
45	425	8825
46	433	8780
47	440	8727
48	446	8669
49	452	8599
50	459	8541
51	464	8472
52	471	8418
53	478	8378
54	484	8329
55	491	8283
56	496	8221
57	502	8165
58	508	8112
59	514	8060
60	520	8008
61	525	7954
62	531	7899
63	536	7850
64	542	7798
65	547	7753
66	554	7717
67	560	7678
68	563	7596
69	569	7560
70	574	7518
71	580	7478
72	585	7439
73	591	7401
74	597	7365
75	602	7328
76	608	7289
77	614	7269
78	621	7245
79	628	7225
80	634	7198
81	637	7135
82	643	7109
83	649	7080
84	655	7050
85	657	6985
86	663	6962
87	668	6931
88	674	6905
89	678	6858
90	680	6802
91	683	6746
92	689	6725
93	692	6674
94	698	6651
95	702	6615
96	708	6592
97	713	6569
98	717	6531
99	723	6510
100	729	6491
101	732	6444
102	738	6427
103	744	6414
104	752	6410
105	759	6401
106	765	6387
107	771	6374
108	777	6358
109	784	6347
110	791	6337
111	796	6317
112	799	6273
113	804	6253
114	807	6211
115	809	6167
116	814	6150
117	817	6109
118	822	6090
119	824	6044
120	830	6031
121	832	5993
122	838	5980
123	844	5965
124	846	5924
125	848	5883
126	850	5848
127	856	5832
128	857	5792
129	863	5777
130	868	5759
131	873	5745
132	876	5710
133	881	5697
134	887	5685
135	892	5671
136	898	5658
137	903	5645
138	905	5610
139	907	5573
140	909	5538
141	911	5506
142	916	5494
143	922	5483
144	928	5472
145	931	5449
146	937	5439
147	939	5407
148	941	5375
149	942	5342
150	944	5309
151	949	5298
152	951	5268
153	954	5241
154	959	5229
155	964	5220
156	966	5190
157	970	5173
158	973	5146
159	974	5117
160	980	5108
161	985	5099
162	991	5090
163	993	5063
164	995	5036
165	996	5007
166	998	4979
167	1000	4954
168	1001	4926
169	1007	4918
170	1013	4911
171	1014	4884
172	1016	4859
173	1018	4832
174	1019	4806
175	1020	4779
176	1026	4772
177	1027	4747
178	1029	4722
179	1031	4696
180	1032	4672
181	1038	4667
182	1039	4642
183	1045	4636
184	1047	4614
185	1053	4611
186	1055	4588
187	1057	4566
188	1063	4562
189	1064	4539
190	1071	4536
191	1072	4514
192	1074	4493
193	1076	4471
194	1077	4449
195	1079	4427
196	1081	4407
197	1087	4403
198	1089	4383
199	1095	4381
200	1097	4361
201	1098	4341
202	1100	4320
203	1106	4318
204	1108	4298
205	1109	4278
206	1115	4274
207	1117	4253
208	1123	4251
209	1124	4231
210	1126	4212
211	1132	4208
212	1134	4190
213	1139	4186
214	1145	4182
215	1151	4179
216	1156	4173
217	1159	4159
218	1162	4144
219	1168	4141
220	1169	4122
221	1171	4104
222	1173	4090
223	1179	4086
224	1181	4069
225	1187	4065
226	1188	4048
227	1194	4044
228	1195	4026
229	1197	4008
230	1198	3990
231	1200	3973
232	1206	3970
233	1211	3966
234	1213	3950
235	1215	3933
236	1216	3917
237	1222	3913
238	1224	3897
239	1225	3881
240	1228	3868
241	1231	3855
242	1236	3851
243	1242	3848
244	1243	3833
245	1245	3818
246	1247	3802
247	1252	3799
248	1254	3783
249	1256	3769
250	1258	3754
251	1263	3751
252	1265	3735
253	1266	3720
254	1268	3706
255	1270	3692
256	1272	3678
257	1273	3663
258	1275	3649
259	1277	3636
260	1279	3622
261	1281	3608
262	1282	3594
263	1284	3581
264	1286	3567
265	1287	3553
266	1293	3551
267	1295	3538
268	1297	3525
269	1303	3523
270	1305	3511
271	1307	3500
272	1313	3497
273	1314	3483
274	1316	3471
275	1318	3457
276	1319	3445
277	1321	3432
278	1323	3419
279	1328	3416
280	1330	3403
281	1332	3391
282	1334	3380
283	1336	3368
284	1342	3366
285	1343	3355
286	1349	3353
287	1351	3340
288	1352	3328
289	1358	3326
290	1360	3314
291	1366	3312
292	1368	3302
293	1374	3299
294	1376	3288
295	1378	3277
296	1379	3265
297	1381	3253
298	1387	3251
299	1388	3240
300	1394	3237
301	1396	3226
302	1397	3215
303	1403	3212
304	1408	3210
305	1411	3200
306	1412	3189
307	1414	3178
308	1420	3177
309	1426	3176
310	1428	3164
311	1430	3153
312	1435	3150
313	1437	3139
314	1438	3129
315	1440	3118
316	1446	3116
317	1448	3105
318	1449	3095
319	1455	3093
320	1458	3084
321	1463	3082
322	1465	3071
323	1467	3062
324	1469	3052
325	1475	3050
326	1477	3041
327	1483	3039
328	1485	3029
329	1487	3019
330	1489	3009
331	1490	2999
332	1497	2998
333	1498	2988
334	1504	2986
335	1507	2978
336	1512	2976
337	1514	2965
338	1515	2955
339	1517	2945
340	1519	2937
341	1525	2934
342	1531	2932
343	1537	2931
344	1539	2923
345	1541	2913
346	1543	2904
347	1547	2898
348	1553	2897
349	1559	2897
350	1562	2889
351	1565	2881
352	1566	2871
353	1572	2869
354	1575	2861
355	1580	2859
356	1587	2859
357	1593	2858
358	1596	2850
359	1598	2841
360	1600	2833
361	1603	2826
362	1609	2824
363	1613	2819
364	1619	2817
365	1621	2808
366	1622	2799
367	1625	2791
368	1627	2782
369	1629	2774
370	1631	2765
371	1637	2763
372	1639	2756
373	1642	2749
374	1648	2747
375	1650	2738
376	1652	2730
377	1658	2728
378	1664	2726
379	1665	2717
380	1671	2715
381	1673	2706
382	1675	2699
383	1677	2690
384	1679	2683
385	1682	2675
386	1687	2673
387	1689	2664
388	1690	2655
389	1692	2647
390	1695	2640
391	1697	2633
392	1700	2626
393	1702	2618
394	1708	2616
395	1713	2614
396	1715	2605
397	1721	2603
398	1726	2600
399	1732	2598
400	1737	2596
401	1743	2593
402	1745	2585
403	1751	2583
404	1754	2577
405	1760	2575
406	1766	2573
407	1771	2570
408	1773	2562
409	1778	2559
410	1784	2556
411	1789	2554
412	1795	2552
413	1801	2549
414	1802	2541
415	1808	2538
416	1809	2530
417	1813	2524
418	1816	2519
419	1819	2512
420	1824	2509
421	1830	2507
422	1832	2499
423	1837	2496
424	1840	2489
425	1845	2487
426	1847	2479
427	1849	2471
428	1855	2469
429	1860	2466
430	1866	2463
431	1867	2455
432	1871	2450
433	1873	2442
434	1878	2440
435	1880	2432
436	1886	2429
437	1889	2424
438	1895	2421
439	1900	2419
440	1902	2411
441	1904	2403
442	1905	2395
443	1908	2389
444	1913	2386
445	1919	2384
446	1925	2381
447	1927	2375
448	1933	2373
449	1935	2365
450	1939	2360
451	1941	2354
452	1947	2351
453	1952	2348
454	1955	2341
455	1958	2336
456	1961	2330
457	1963	2323
458	1967	2318
459	1968	2311
460	1974	2308
461	1976	2302
462	1982	2299
463	1985	2293
464	1987	2287
465	1993	2284
466	1995	2277
467	2001	2274
468	2004	2270
469	2010	2267
470	2012	2260
471	2015	2254
472	2017	2248
473	2023	2245
474	2025	2238
475	2031	2235
476	2036	2233
477	2039	2227
478	2043	2222
